price,age,km,fueltype,hp,metcolor,automatic,cc,doors,weight
13500,23,560,1,9,1,0,2000,7,1165
13750,23,958,1,9,1,0,2000,1,1165
13950,24,495,1,9,0,0,2000,1,1165
14950,26,579,1,9,0,0,2000,1,1165
13750,30,453,1,9,0,0,2000,1,1170
12950,32,775,1,9,0,0,2000,1,1170
16900,27,1255,1,12,0,0,2000,1,1245
18600,30,1020,3,9,1,0,2000,1,1245
21500,27,262,2,3,0,0,1800,1,1185
12950,23,932,1,12,0,0,1900,1,1105
20950,25,375,2,3,0,0,1800,1,1185
19950,22,512,2,3,0,0,1800,1,1185
19600,25,384,2,3,0,0,1800,1,1185
21500,31,298,2,3,1,0,1800,1,1185
22500,32,408,2,3,1,0,1800,1,1185
22000,28,255,2,12,0,0,1800,1,1185
22750,30,406,2,3,1,0,1800,1,1185
17950,24,283,2,1,1,0,1600,1,1105
16750,24,320,2,1,0,0,1600,1,1065
16950,30,834,2,1,1,0,1600,1,1105
15950,30,887,2,1,1,0,1600,1,1105
16950,29,518,3,1,0,1,1600,1,1170
15950,28,701,2,1,1,0,1600,1,1120
16950,28,385,2,1,1,0,1600,1,1120
16250,29,321,2,1,1,0,1600,1,1120
15950,25,340,2,1,1,0,1600,1,1120
17495,27,410,3,1,1,0,1600,1,1120
15750,29,489,2,1,1,0,1600,1,1120
16950,28,520,2,1,0,0,1600,1,1120
17950,30,69,3,1,0,0,1600,1,1120
12950,29,1233,2,10,1,0,1400,1,1100
15750,22,417,2,10,1,0,1400,1,1100
15950,27,354,2,10,1,0,1400,1,1100
14950,0,389,2,10,1,0,1400,1,1100
15500,22,485,2,10,1,0,1400,1,1100
15750,26,505,2,10,0,0,1400,1,1100
15950,25,313,2,10,0,0,1400,1,1100
14950,23,1,2,10,1,0,1400,1,1100
15750,32,318,2,10,1,0,1400,1,1100
14750,27,334,2,10,0,0,1400,1,1100
13950,22,596,2,10,0,0,1400,1,1100
16750,27,519,2,10,1,0,1400,1,1100
13950,22,559,2,10,0,0,1400,1,1100
16950,27,65,1,9,0,0,2000,3,1255
16950,22,4,3,9,0,0,2000,3,1255
19000,23,1115,1,9,0,0,2000,3,1270
17950,27,1061,1,9,1,0,2000,3,1255
15800,22,1005,2,10,1,0,1400,3,1110
17950,22,950,1,9,1,0,2000,3,1255
21950,31,845,2,3,0,0,1800,3,1195
17950,22,814,1,9,1,0,2000,3,1255
15750,30,707,2,10,1,0,1400,3,1110
20500,26,693,2,1,1,1,1600,3,1180
21950,27,612,2,3,1,0,1800,3,1195
15500,25,597,2,1,0,1,1600,3,1165
13250,0,542,2,1,1,0,1600,3,1075
15250,28,507,2,10,0,0,1400,3,1110
15250,26,505,2,10,0,0,1400,3,1110
18950,23,472,2,1,1,1,1600,3,1180
15999,30,460,2,1,1,0,1600,3,1130
14950,22,442,3,10,1,0,1400,3,1110
16500,27,439,2,1,0,0,1600,3,1130
18750,31,431,2,1,1,0,1600,3,1130
17950,30,399,2,1,1,0,1600,3,1130
17950,27,1255,2,10,1,0,1400,3,1110
16950,26,383,2,1,1,0,1600,3,1075
18950,28,372,2,1,1,0,1600,3,1130
14950,22,365,2,10,1,0,1400,3,1110
22250,22,361,1,1,1,0,2000,3,1275
15950,25,359,2,10,0,0,1400,3,1110
15950,28,349,2,10,1,0,1400,3,1110
12995,32,348,2,10,1,0,1400,3,1060
18950,28,345,2,1,1,0,1598,3,1130
15750,23,338,2,10,1,0,1400,3,1110
19950,28,336,2,1,0,0,1600,3,1130
16950,23,336,2,1,1,0,1600,3,1115
18750,31,317,2,1,1,0,1600,3,1130
18450,27,301,2,1,0,0,1600,3,1115
16895,29,291,2,1,1,0,1600,3,1115
14900,30,287,2,10,1,0,1400,3,1110
18950,25,268,2,1,1,1,1600,3,1180
17250,29,267,2,1,1,0,1600,3,1115
15450,25,229,2,10,1,0,1400,3,1110
17950,0,224,2,1,1,1,1600,3,1180
16650,25,204,2,10,1,0,1400,3,1110
17450,28,1130,2,1,1,0,1600,3,1130
14900,30,911,3,10,1,0,1400,3,1100
17950,20,877,1,9,1,0,2000,1,1245
15950,19,634,2,10,1,0,1400,1,1100
21950,19,617,1,1,1,0,2000,1,1265
16450,20,583,2,10,0,0,1400,1,1100
22250,20,1255,1,9,1,0,2000,1,1260
19950,0,409,1,9,1,0,1995,1,1260
15950,20,397,2,10,1,0,1400,1,1100
18900,20,379,2,1,0,0,1600,1,1120
19950,17,364,1,9,1,0,1995,1,1260
15950,19,351,2,10,1,0,1400,1,1100
15950,19,322,2,10,1,0,1400,1,1100
18750,11,309,2,1,0,0,1600,1,1120
17450,18,303,2,10,1,0,1400,1,1100
18990,20,299,2,1,1,0,1600,1,1120
16250,19,258,2,10,1,0,1400,1,1100
18500,13,248,2,5,0,0,1400,1,1125
18500,11,222,2,1,1,0,1600,1,1105
19450,11,191,2,1,1,1,1600,1,1155
16950,0,174,2,10,1,0,1400,1,1100
18800,14,85,2,1,1,0,1600,1,1045
17450,17,1,3,10,1,0,1400,1,1100
17950,20,945,2,1,1,0,1600,1,1105
32500,0,0,3,2,0,0,2000,3,1480
31000,4,476,1,2,1,0,2000,3,1480
31275,4,197,1,2,1,0,2000,3,1480
24950,8,1255,1,2,1,0,2000,3,1320
24950,8,159,1,2,1,0,2000,3,1320
22950,7,1,1,2,1,0,2000,3,1270
24990,8,760,1,9,1,0,2000,3,1280
21950,8,54,3,9,1,0,2000,3,1270
17900,0,0,2,1,1,0,1600,1,1105
19250,20,817,1,9,1,0,2000,3,1255
22250,0,715,3,1,1,0,2000,3,1275
18950,13,706,2,1,0,0,1600,3,1115
19950,19,628,3,9,1,0,2000,3,1255
16350,14,478,2,1,1,0,1600,3,1115
18950,20,462,2,1,1,0,1600,3,1130
16950,17,425,3,1,0,0,1600,3,1130
21750,16,1255,2,1,1,0,1600,3,1130
15950,20,423,2,1,1,0,1600,3,1075
16500,20,415,2,10,1,0,1400,3,1110
17950,17,403,2,10,1,0,1400,3,1135
15850,13,398,2,1,1,0,1600,3,1075
16250,20,388,2,10,1,0,1400,3,1110
15950,20,1255,2,10,1,0,1400,3,1110
16250,19,352,2,10,1,0,1400,3,1110
15950,13,350,2,1,1,0,1600,2,1105
16500,20,346,2,10,0,0,1400,3,1110
16500,19,335,2,10,0,0,1400,3,1110
18450,19,333,2,10,0,0,1400,3,1135
16250,13,315,2,1,1,0,1600,3,1105
23000,11,313,1,2,1,0,2000,3,1320
19900,20,298,2,1,1,0,1600,3,1130
16450,20,292,2,10,1,0,1400,3,1110
23950,19,282,2,3,1,0,1800,3,1185
19950,13,278,2,1,1,0,1600,3,1130
18500,16,275,2,1,1,0,1600,2,1090
18950,15,270,2,1,0,0,1600,3,1130
16450,16,269,2,10,0,0,1400,3,1110
20500,20,267,2,1,0,1,1600,3,1165
24500,13,265,2,1,1,0,1600,3,1130
19450,19,252,2,1,0,0,1600,3,1130
20950,14,246,2,1,1,1,1600,2,1150
17200,20,235,2,10,1,0,1400,3,1110
19950,19,231,2,1,0,0,1600,3,1130
18450,10,173,2,10,1,0,1400,3,1110
19500,12,168,2,1,1,0,1600,3,1115
21750,13,157,2,1,1,0,1600,3,1130
16868,15,156,3,10,1,0,1400,2,1085
19500,16,147,3,1,1,0,1600,2,1105
18900,11,131,2,1,1,0,1600,3,1115
19750,17,110,2,1,1,0,1600,3,1130
19750,16,99,2,1,0,1,1600,3,1180
18950,16,62,3,1,0,0,1600,2,1105
20750,17,1,2,1,0,0,1598,3,1105
19600,9,1028,2,1,1,0,1600,3,1115
19500,14,846,3,1,0,0,1600,2,1100
17650,11,789,2,10,1,0,1400,3,1110
19950,14,760,2,1,0,0,1600,3,1130
19950,14,672,2,1,1,0,1600,3,1130
20950,14,648,2,1,1,1,1600,6,1150
20500,12,615,2,1,1,0,1600,3,1130
17795,9,0,2,11,1,0,1400,2,1065
18245,9,0,2,1,1,0,1600,3,1075
23750,8,62,2,1,1,0,1600,3,1130
19500,8,11,2,10,1,0,1400,3,1110
18950,8,1,2,10,1,0,1400,3,1110
21950,8,1238,2,1,1,0,1600,3,1130
19950,8,1134,2,1,1,0,1600,3,1130
18950,8,911,2,1,0,0,1600,3,1115
19950,7,810,2,1,1,0,1600,3,1115
21950,8,615,2,1,1,0,1600,3,1130
22500,6,360,2,1,0,0,1600,3,1130
18500,7,266,2,1,0,0,1600,3,1075
18700,7,531,2,10,1,0,1400,3,1110
21125,2,289,2,10,1,0,1400,3,1110
21500,0,196,2,1,1,0,1600,3,1130
17795,1,0,2,11,1,0,1400,2,1100
18245,1,0,2,1,1,0,1600,3,1075
6950,43,306,1,4,0,0,1900,1,1110
9500,38,250,1,9,0,0,2000,2,1160
11950,40,247,1,9,1,0,2000,3,1205
7750,43,245,0,1,0,0,1600,1,1084
11950,40,221,1,4,1,0,1900,1,1105
4350,44,215,1,4,0,0,1800,3,1110
4750,44,152,1,4,1,0,1800,3,1110
11750,40,150,1,4,1,0,1900,3,1140
13250,41,126,1,4,1,0,1900,3,1140
11950,37,104,2,1,1,0,1600,3,1075
11900,44,63,1,4,1,0,1900,3,1095
14750,39,56,1,9,1,0,2000,3,1205
9950,42,43,2,10,1,0,1400,1,1025
11950,0,1247,0,1,1,0,1600,3,1119
11495,44,1225,2,1,0,0,1600,3,1075
11250,40,1224,2,10,1,0,1400,1,1025
10500,42,1193,2,1,1,0,1600,3,1075
10450,35,1188,1,4,1,0,1900,1,1110
12950,43,1172,1,4,1,0,1900,3,1140
11500,44,1169,2,1,1,0,1600,1,1045
12500,40,1131,2,1,1,0,1600,3,1075
10950,43,1128,3,10,0,0,1400,3,1060
11450,41,1117,2,1,0,0,1600,3,1080
11950,37,1102,0,1,1,0,1600,3,1121
13250,41,1081,1,4,1,0,1900,3,1140
14750,40,1073,1,9,1,0,2000,3,1205
11790,34,1053,2,1,1,1,1600,3,1105
11450,40,1049,2,1,0,0,1600,3,1075
13500,33,1045,1,9,1,0,2000,1,1170
10950,33,1036,2,1,1,0,1600,3,1075
13500,33,1017,1,4,0,0,1900,1,1105
10950,41,1016,2,10,1,0,1400,1,1025
10950,44,997,2,10,0,0,1400,1,1025
12950,38,985,2,1,1,0,1600,3,1075
11950,0,983,2,1,1,0,1600,3,1075
12450,44,979,2,1,1,0,1600,3,1615
11950,40,961,2,1,1,0,1598,3,1075
14950,44,943,0,1,0,0,1600,2,1067
12450,35,934,2,1,1,0,1600,3,1075
12950,38,889,2,1,1,0,1600,3,1075
11950,0,863,2,1,0,0,1600,1,1040
11690,0,854,2,10,1,0,1400,3,1060
12450,42,836,2,1,1,0,1600,3,1080
12750,36,823,2,10,1,0,1400,3,1060
11925,0,822,2,10,0,0,1400,1,1025
12950,33,799,2,1,1,0,1600,3,1075
11950,42,784,2,10,1,0,1400,1,1030
12900,41,782,2,1,1,0,1600,1,1045
11900,41,775,2,1,0,0,1600,3,1075
11650,38,773,2,1,0,0,1600,3,1075
10950,44,767,2,1,0,0,1600,3,1075
13950,35,758,1,4,0,0,1900,1,1110
13950,44,751,2,1,0,1,1600,3,1110
11950,40,750,2,1,1,0,1600,3,1080
10950,38,746,2,1,1,0,1600,3,1075
12450,38,738,2,1,1,0,1600,1,1055
11950,43,735,2,1,0,0,1600,1,1045
13500,33,724,1,9,1,0,2000,1,1165
11690,33,714,2,1,1,0,1600,3,1075
13500,39,694,2,1,1,0,1600,3,1075
11950,42,692,2,1,0,0,1600,1,1050
12900,0,687,2,1,1,0,1600,2,1030
13500,43,686,2,1,1,0,1600,3,1085
11750,42,682,2,1,0,0,1600,3,1075
11750,33,681,2,1,0,0,1600,3,1075
10850,43,673,2,1,0,0,1600,2,1030
11750,43,665,2,1,1,0,1600,3,1075
14950,42,664,2,1,1,1,1600,3,1105
9940,39,662,2,1,1,0,1600,3,1075
12900,42,659,2,1,0,0,1600,3,1075
13500,38,652,2,1,1,0,1600,3,1075
11750,44,637,2,10,1,0,1400,1,1025
11950,44,636,2,10,0,0,1400,1,1025
13450,33,635,2,1,1,0,1600,3,1075
11950,41,632,2,10,1,0,1400,1,1025
12495,39,624,2,1,0,0,1600,3,1075
13500,41,623,2,1,0,0,1600,2,1030
12750,40,621,2,1,1,0,1600,3,1075
12000,39,616,2,10,1,0,1400,3,1060
11950,38,606,2,1,1,0,1600,3,1075
12495,44,601,2,1,1,0,1600,3,1080
12450,34,600,2,1,1,0,1600,1,1040
14750,40,594,1,9,1,0,2000,3,1205
10950,39,593,2,1,0,0,1600,1,1040
13500,33,592,1,4,0,0,1900,1,1105
12950,38,584,2,1,1,0,1600,3,1075
13500,35,581,1,4,0,0,1900,1,1105
13450,0,580,2,1,1,0,1600,2,1030
13500,43,579,2,1,1,0,1600,3,1075
11480,41,567,2,1,1,0,1600,3,1075
13450,39,556,2,10,1,0,1400,3,1060
11495,39,555,2,1,0,0,1600,1,1040
12750,43,554,2,10,0,0,1400,3,1025
14990,38,550,2,1,1,0,1600,1,1055
12950,35,549,2,10,1,0,1400,3,1060
12950,40,544,2,1,1,0,1600,3,1080
12850,39,541,2,10,1,0,1400,3,1085
13950,40,539,2,1,1,1,1600,3,1105
11950,41,534,2,1,1,0,1600,3,1075
12950,39,533,2,1,1,0,1600,3,1075
11700,40,528,2,1,0,0,1600,3,1075
9950,37,526,2,10,0,0,1400,1,1025
11895,44,521,2,10,1,0,1400,3,1060
12950,43,514,2,1,1,0,1600,3,1075
12500,36,510,2,1,1,0,1600,1,1040
13875,39,508,2,1,1,0,1600,3,1075
10500,35,505,2,1,0,0,1600,1,1050
12295,33,504,2,1,1,0,1600,3,1075
13950,42,501,2,1,1,0,1600,3,1080
10950,38,496,2,1,0,0,1600,1,1040
12950,44,490,0,1,1,0,1600,3,1103
12850,40,488,2,1,1,0,1600,3,1080
13995,35,485,2,1,1,0,1600,3,1075
13750,39,477,2,1,1,0,1600,1,1055
12750,37,474,2,1,1,0,1600,3,1075
12500,41,471,2,1,0,0,1600,1,1045
13950,43,470,2,1,0,0,1600,1,1055
11500,39,469,2,10,0,0,1398,1,1025
13950,44,468,2,10,1,0,1400,3,1060
11895,41,467,2,10,0,0,1400,3,1060
9950,44,461,2,10,1,0,1400,1,1025
13500,42,458,2,1,1,0,1600,1,1040
11450,37,456,2,10,0,0,1400,1,1025
12450,42,455,2,1,1,0,1600,3,1075
12950,40,454,2,1,1,0,1600,3,1080
13995,44,452,2,1,0,0,1600,3,1080
11750,42,450,2,10,0,0,1400,1,1025
11650,39,448,2,10,1,0,1400,3,1060
9950,43,446,2,10,0,0,1400,1,1030
13950,41,445,2,1,1,0,1600,3,1075
12950,44,441,2,1,1,0,1600,3,1080
10950,38,440,2,10,1,0,1400,1,1025
9900,42,437,2,10,1,0,1400,1,1025
11950,44,437,2,1,0,0,1600,2,1075
11990,40,432,2,1,0,0,1600,3,1090
10750,36,428,3,1,1,0,1600,3,1075
13950,37,427,2,1,1,1,1600,3,1075
11250,44,426,2,1,1,0,1600,1,1040
12950,39,411,2,1,1,0,1600,5,1075
11950,41,406,2,1,1,0,1600,3,1075
10950,42,402,2,10,1,0,1400,1,1025
12950,33,401,2,1,1,0,1600,3,1075
12950,35,396,2,1,0,0,1600,3,1075
11695,43,394,3,1,1,0,1600,3,1075
11000,41,392,2,1,1,1,1600,3,1075
13950,0,391,2,1,1,0,1600,3,1080
11950,38,390,3,1,0,0,1600,3,1075
11750,40,387,3,1,1,0,1600,1,1040
12400,34,386,3,10,1,0,1400,3,1060
12500,35,381,2,1,0,0,1600,1,1040
12900,33,373,2,1,1,0,1600,3,1075
12200,41,371,2,1,0,0,1600,1,1045
12750,43,368,2,1,1,0,1600,1,1040
11950,42,362,2,1,1,0,1600,3,1075
11900,41,358,2,2,1,0,1600,3,1075
11950,44,358,3,1,1,1,1600,1,1070
14950,42,355,2,1,0,0,1600,1,1055
11950,41,347,2,10,1,0,1400,3,1060
12950,33,344,2,1,1,0,1600,3,1075
14950,41,342,2,1,0,0,1600,3,1090
13450,40,339,2,1,1,0,1600,1,1040
13750,38,337,2,1,0,0,1600,3,1075
12950,43,332,3,1,1,0,1600,1,1040
12750,33,331,2,1,1,0,1600,3,1075
11895,39,330,2,10,1,0,1400,3,1060
9950,42,329,2,10,1,0,1400,3,1060
12450,38,325,2,1,1,0,1600,3,1075
12500,38,323,2,10,1,0,1400,3,1060
14950,43,316,2,1,1,0,1600,1,1045
13750,39,314,2,1,0,0,1600,3,1080
12695,39,312,2,1,1,1,1600,2,1060
14990,0,311,2,1,1,0,1600,1,1055
12750,43,310,2,1,1,0,1600,3,1080
14350,41,308,2,1,0,0,1600,3,1030
12950,39,307,2,1,0,0,1600,1,1040
11500,35,305,2,10,0,0,1400,1,1025
11950,41,304,2,10,1,0,1400,1,1025
13450,40,302,2,1,1,0,1600,3,1075
12900,38,297,2,1,1,0,1600,3,1075
10500,41,295,2,8,0,0,1300,3,1035
10950,35,286,2,10,0,0,1400,1,1025
11950,41,281,2,10,0,0,1400,1,1025
11450,37,279,2,1,1,0,1600,3,1030
13250,44,277,2,1,1,0,1600,3,1080
10250,39,254,2,1,0,0,1600,2,1030
13995,35,248,2,1,1,0,1600,3,1075
11950,40,232,3,10,0,0,1400,3,1060
13250,33,227,2,10,1,0,1400,3,1085
12950,40,225,2,1,1,0,1600,3,1080
11750,38,219,2,10,1,0,1400,3,1060
11500,39,111,2,1,1,0,1600,3,1075
13500,43,1,2,10,1,0,1400,3,1060
6500,53,280,1,4,0,0,1900,1,1110
6400,51,264,1,4,0,0,1900,2,1095
7000,53,240,1,4,0,0,1900,1,1105
7750,54,238,1,6,1,0,2000,2,1100
8900,45,237,1,4,0,0,1900,3,1095
8500,55,199,0,1,1,0,1600,1,1075
8950,54,195,1,6,1,0,2000,3,1135
9900,51,192,2,1,1,0,1600,3,1080
10250,53,184,1,4,0,0,1900,3,1140
9250,48,183,0,1,0,0,1600,3,1119
7750,48,182,1,4,1,0,1900,3,1110
9450,0,176,1,4,1,0,1900,2,1095
7750,55,170,1,6,0,0,2000,3,1135
8250,52,166,1,4,1,0,1900,3,1140
9950,49,154,2,1,1,0,1600,3,1075
4450,56,146,1,4,0,0,1800,3,1110
9950,50,137,2,1,0,0,1600,1,1055
9000,48,109,3,1,1,0,1600,3,1080
9950,53,101,1,4,1,0,1900,3,1110
12450,47,98,1,9,0,0,2000,1,1165
10500,55,1255,2,1,1,0,1600,2,1035
10750,54,93,2,1,1,0,1600,2,1035
8950,53,89,2,10,1,0,1400,1,1025
10500,54,87,1,4,1,0,1900,3,1140
5150,56,81,1,6,1,0,2000,3,1135
10950,49,53,2,10,0,0,1400,3,1060
9450,0,39,2,10,1,0,1400,1,1025
9950,54,33,2,1,1,0,1600,3,1075
10950,51,30,3,4,0,0,1900,3,1140
11900,47,27,3,1,1,0,1600,3,1080
9950,50,23,2,10,1,0,1400,3,1060
11950,54,15,2,1,0,0,1600,3,1080
7900,50,1253,2,1,1,0,1600,2,1035
10950,52,1249,2,1,0,0,1600,1,1055
8950,48,1241,3,4,1,0,1900,3,1140
11950,51,1240,2,1,0,0,1600,3,1080
10900,49,1236,2,1,1,0,1600,1,1045
9950,55,1230,2,1,0,0,1600,3,1080
9950,51,1222,1,6,0,0,2000,1,1115
10950,54,1221,2,1,1,0,1600,3,1080
8950,55,1210,1,6,0,0,2000,1,1115
8950,55,1209,2,8,1,0,1300,1,1015
10500,49,1186,3,1,1,0,1600,1,1055
8950,53,1177,2,10,0,0,1400,1,1025
9250,53,1176,1,4,1,0,1900,3,1140
11500,48,1162,2,10,1,0,1400,3,1060
9750,52,1161,2,1,0,0,1600,3,1075
9950,45,1146,2,1,1,0,1600,1,1040
11450,49,1139,2,1,0,0,1600,1,1045
12500,54,1123,2,1,0,0,1600,3,1075
10500,50,1112,2,1,0,0,1600,3,1075
12950,50,1106,3,1,1,0,1600,3,1075
12200,50,1103,2,1,1,0,1600,1,1040
10950,50,1101,2,10,1,0,1400,1,1030
10950,54,1086,2,1,1,0,1600,3,1105
11290,49,1072,2,1,1,1,1600,1,1070
10750,49,1068,2,10,1,0,1400,1,1030
10895,53,1064,2,1,0,0,1600,3,1075
11500,47,1056,0,1,1,0,1600,3,1119
9750,48,1052,2,1,1,0,1600,3,1075
10250,55,1041,2,1,0,0,1600,1,1040
12500,49,1039,2,1,0,0,1600,2,1030
11950,54,1035,3,1,1,0,1600,2,1035
10750,50,1025,2,10,1,0,1400,3,1060
11450,46,1009,2,1,1,0,1600,2,1035
11950,54,1008,2,1,1,0,1600,3,1080
11750,48,1004,2,1,1,0,1600,1,1055
10950,50,998,2,1,1,1,1600,2,1060
11950,55,993,2,1,1,0,1600,3,1080
10995,49,992,1,4,0,0,1900,1,1105
11450,56,989,2,10,0,0,1400,1,1025
8900,49,988,2,1,1,0,1600,3,1075
10500,50,971,2,1,0,0,1587,3,1075
11750,47,968,2,1,1,0,1600,3,1075
11450,49,964,2,10,1,0,1400,1,1030
12000,0,959,2,1,0,0,1600,1,1055
11950,50,952,2,1,0,1,1600,1,1070
9850,53,947,2,10,1,0,1400,1,1025
10950,0,941,2,1,1,0,1600,2,1035
10950,0,936,2,1,0,0,1600,3,1080
8695,0,919,1,4,1,0,1900,1,1105
10990,53,918,2,1,0,0,1600,1,1040
9500,55,909,2,10,1,0,1400,1,1025
11950,49,908,2,8,0,0,1300,1,1025
10750,46,907,2,10,0,0,1400,3,1065
8750,47,902,1,4,1,0,1900,3,1140
8750,49,897,2,1,0,0,1600,2,1030
11450,0,896,1,6,1,0,2000,1,1115
9950,46,894,2,10,0,0,1400,1,1025
11950,56,872,2,1,0,0,1600,3,1090
13950,52,869,2,1,1,0,1600,3,1080
11250,54,865,2,1,1,0,1600,3,1090
